Event, Shape Type, Indicator Type, en: Indicator Name, ka: Indicator Name,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,National Democratic Party of Georgia,საქართველოს ეროვნულ დემოკრატიული პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,National Party of Radical Democrats of Georgia,სრულიად საქართველოს რადიკალ დემოკრატთა ნაციონალური პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,Our Country,ჩვენი ქვეყანა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,Party of Future,მომავლის პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,Public Alliance of Whole Georgia,საზოგადოებრივი ალიანსი ერთიანი საქართველოსათვის,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,Right Wing Alliance Topadze Industrialists,მემარჯვენე ალიანსი თოფაძე მრეწველები,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,Solidarity,სოლიდარობა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,Sportsman's Union,სპორტსმენთა კავშირი,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,Tortladze Democratic Party,თორთლაძე დემოკრატიული პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Majoritarian,Majoritarian Tbilisi Precinct,Political Results,United National Movement,ნაც. მოძრაობა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Indicators,Number of Precincts with votes per minute > 3 (08:00-12:00),ხმების რაოდენობა ერთ წუთში (08:00-12:00),,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,,,,,,,,,,,,,,,,,,
2008 Parliamentary - Majoritarian,Tbilisi District,Indicators,Number of Precincts with votes per minute > 3 (12:00-17:00),ხმების რაოდენობა ერთ წუთში (12:00-17:00),,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,,,,,,,,,,,,,,,,,,
2008 Parliamentary - Majoritarian,Tbilisi District,Indicators,Number of Precincts with votes per minute > 3 (17:00-20:00),ხმების რაოდენობა ერთ წუთში (17:00-20:00),,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,,,,,,,,,,,,,,,,,,
2008 Parliamentary - Majoritarian,Tbilisi District,Indicators,Total Turnout (%),სულ (%),%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Indicators,Total Turnout (#),სულ (#),,0,0,,0-5000,0-5000,,5000-10000,5000-10000,,10000-15000,10000-15000,,15000-20000,15000-20000,,20000-25000,20000-25000,,>25000,>25000,,,,,,,,,,,,,,,,,,
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,CDM,ქდმ (%),%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,Christian Democratic Alliance,ქრისტიან-დემოკრატიული ალიანსი,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,Georgian Politics,ქართული პოლიტიკა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,Labour,ლეიბორისტული პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,National Party of Radical Democrats of Georgia,სრულიად საქართველოს რადიკალ დემოკრატთა ნაციონალური პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,Our Country,ჩვენი ქვეყანა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,Republican party,რესპუბლიკური პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,Right Wing Alliance Topadze Industrialists,მემარჯვენე ალიანსი თოფაძე მრეწველები,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,Sportsman's Union,სპორტსმენთა კავშირი,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,Traditionalists - Our Georgia and Women's Party,ტრადიციონალისტები ჩვენი საქართველო და ქალთა პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,United Opposition,გაერთიანებული ოპოზიცია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi District,Political Results,United National Movement,ნაც. მოძრაობა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Indicators,Average votes per minute (08:00-12:00),ხმების რაოდენობა ერთ წუთში (08:00-12:00),,0,0,,0-1,0-1,,1-2,1-2,,2-3,2-3,,>3,>3,,,,,,,,,,,,,,,,,,,,,,,,
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Indicators,Average votes per minute (12:00-17:00),ხმების რაოდენობა ერთ წუთში (12:00-17:00),,0,0,,0-1,0-1,,1-2,1-2,,2-3,2-3,,>3,>3,,,,,,,,,,,,,,,,,,,,,,,,
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Indicators,Average votes per minute (17:00-20:00),ხმების რაოდენობა ერთ წუთში (17:00-20:00),,0,0,,0-1,0-1,,1-2,1-2,,2-3,2-3,,>3,>3,,,,,,,,,,,,,,,,,,,,,,,,
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Indicators,Total Turnout (%),სულ (%),%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Indicators,Total Turnout (#),სულ (#),,0,0,,0-500,0-500,,500-1000,500-1000,,1000-1500,1000-1500,,1500-2000,1500-2000,,2000-2500,2000-2500,,>2500,>2500,,,,,,,,,,,,,,,,,,
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,CDM,ქდმ (%),%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,Christian Democratic Alliance,ქრისტიან-დემოკრატიული ალიანსი,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,Georgian Politics,ქართული პოლიტიკა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,Labour,ლეიბორისტული პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,National Party of Radical Democrats of Georgia,სრულიად საქართველოს რადიკალ დემოკრატთა ნაციონალური პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,Our Country,ჩვენი ქვეყანა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,Republican party,რესპუბლიკური პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,Right Wing Alliance Topadze Industrialists,მემარჯვენე ალიანსი თოფაძე მრეწველები,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,Sportsman's Union,სპორტსმენთა კავშირი,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,Traditionalists - Our Georgia and Women's Party,ტრადიციონალისტები ჩვენი საქართველო და ქალთა პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,United Opposition,გაერთიანებული ოპოზიცია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Majoritarian,Tbilisi Precinct,Political Results,United National Movement,ნაც. მოძრაობა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Indicators,Number of Precincts with votes per minute > 3 (08:00-12:00),ხმების რაოდენობა ერთ წუთში (08:00-12:00),,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,,,,,,,,,,,,,,,,,,
2010 Local Election - Party List,Tbilisi District,Indicators,Number of Precincts with votes per minute > 3 (12:00-17:00),ხმების რაოდენობა ერთ წუთში (12:00-17:00),,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,,,,,,,,,,,,,,,,,,
2010 Local Election - Party List,Tbilisi District,Indicators,Number of Precincts with votes per minute > 3 (17:00-20:00),ხმების რაოდენობა ერთ წუთში (17:00-20:00),,0,0,,0-2,0-2,,2-4,2-4,,4-6,4-6,,6-8,6-8,,8-10,8-10,,>10,>10,,,,,,,,,,,,,,,,,,
2010 Local Election - Party List,Tbilisi District,Indicators,Total Turnout (%),სულ (%),%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Indicators,Total Turnout (#),სულ (#),,0,0,,0-5000,0-5000,,5000-10000,5000-10000,,10000-15000,10000-15000,,15000-20000,15000-20000,,20000-25000,20000-25000,,>25000,>25000,,,,,,,,,,,,,,,,,,
2010 Local Election - Party List,Tbilisi District,Political Results,Alliance for Georgia,ალიანსი საქართველოსთვის,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,CDM,ქდმ (%),%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Freedom Party,თავისუფლება,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Future Georgia,მომავალი საქართველო,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Nikoloz Ivanishvili Public Democrats,ნიკოლოზ ივანიშვილი სახალხო დემოკრატები,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Mamulishvili,მამულიშვილი,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,National Council,ეროვნული საბჭო,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,National Democratic Party of Georgia,საქართველოს ეროვნულ დემოკრატიული პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,National Party of Radical Democrats of Georgia,სრულიად საქართველოს რადიკალ დემოკრატთა ნაციონალური პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Our Country,ჩვენი ქვეყანა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Party of Future,მომავლის პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Public Alliance of Whole Georgia,საზოგადოებრივი ალიანსი ერთიანი საქართველოსათვის,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Right Wing Alliance Topadze Industrialists,მემარჯვენე ალიანსი თოფაძე მრეწველები,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Solidarity,სოლიდარობა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Sportsman's Union,სპორტსმენთა კავშირი,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,Tortladze Democratic Party,თორთლაძე დემოკრატიული პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2010 Local Election - Party List,Tbilisi District,Political Results,United National Movement,ნაც. მოძრაობა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
